edge_u,edge_v,edge_key,W_e,affected_pairs
35912569,11111411337,0,3.778109995289207e-16,8
35921172,301457370,0,0.08961907637935058,19
35921172,266687630,0,0.10707270784550825,5
35921172,703866883,0,20.563778144655878,10
35925240,36163271,0,0.2651690748772702,54
35925240,311973099,0,4.1765336036209675,90
35925240,35969515,0,1.993654593777113e-15,148
35925258,266416909,0,0.4807052459092426,4
35925258,266416915,0,0.04266591259240985,5
35925258,64447234,0,0.0,11
35925412,35925425,0,0.0,0
35925412,266416915,0,0.0,3
35925412,1057163165,0,0.0,0
35925425,35925412,0,0.0,0
35925425,35912046,0,0.0,5
35925425,3222125925,0,0.0,0
35925624,35925742,0,0.0,0
35925624,35912569,0,1.1522376190141236e-16,2
35925742,35925624,0,0.0,0
35925742,35925923,0,0.0,7
35925742,1315964090,0,0.0,0
35925742,1315964090,1,0.0,0
35925896,340340362,0,3.778109995289207e-16,41
35925896,1315964090,0,0.0847023242012289,5
35925896,35925923,0,2.304249550151018,31
35925923,35925896,0,3.778109995289207e-16,31
35925923,35925742,0,0.012826334533708067,7
35925923,35969967,0,2.4556504796981207,22
35926256,1462937125,0,10.107343104855312,69
35926379,311515077,0,0.049412642937497024,6
35926379,1837336085,0,0.019249787950554,9
35969501,1873503186,0,50.0,5
35969501,35969506,0,13.961907525046081,164
35969501,1280254421,0,20.00806458151469,3
35969501,36158895,0,1.0287582099618835,16
35969506,3029437579,0,10.0,1
35969506,35969501,0,2.6467072826695527e-15,164
35969506,36162976,0,12.974796047015138,160
35969515,36163269,0,0.011385477671405762,3
35969515,36163231,0,0.6704789762340315,14
35969515,35925240,0,1.2300338701598499,148
35969515,308304229,0,0.5959159848984942,40
35969515,36163213,0,2.0821481653731664e-15,140
35969668,614210849,0,4.4451922910553865,250
35969668,614210761,0,0.21439673594913455,5
35969742,308304235,0,3.7996210605772363,233
35969742,1602078142,0,0.6880402292786088,236
35969742,266687630,0,0.0,0
35969967,11111411332,0,0.0,0
35969967,11111411337,0,1.866885396294917,19
35969967,35925923,0,3.778109995289207e-16,22
35970090,1987640611,0,10.0,1
35970177,35970178,0,0.0,2
35970177,311515110,0,0.0,3
35970177,1709544717,0,0.0,0
35970178,35970177,0,0.07633029099128197,2
35970178,640587806,0,0.0,0
35970178,35907784,0,0.026307830570130874,1
35970178,1723674719,0,0.0,5
36157582,614187826,0,5.106907279961796,262
36157582,36158421,0,3.1697301335074064e-15,267
36157597,614210780,0,0.0,0
36157597,36158010,0,2.922427535382108e-16,4
36157720,36160479,0,0.9379206594588823,62
36157720,2026128279,0,30.0,3
36157720,614215399,0,4.838754509097964e-15,335
36157720,36158421,0,5.596012105601667,269
36158010,36158017,0,0.0,0
36158010,36157597,0,0.00489021967263818,4
36158010,308194352,0,2.922427535382108e-16,8
36158017,36158010,0,0.0,0
36158017,50488292,0,0.0,2
36158017,36158421,0,0.0,0
36158421,36157720,0,3.474728355043861e-15,269
36158421,36157582,0,5.455199144498581,267
36158421,36158017,0,0.0,0
36158522,2979467267,0,0.12702817955702586,15
36158522,2979467258,0,0.05224048199449489,359
36158895,36162050,0,0.5139592743426069,7
36158895,36160614,0,0.0,0
36158895,35969501,0,1.371275518794974e-16,16
36158895,3297708508,0,0.4334618213397259,12
36159957,3286282813,0,7.615908353175573,337
36159957,12458507711,0,4.7016269572184666e-15,338
36160085,1602078142,0,0.0,0
