edge_u,edge_v,edge_key,W_e,affected_pairs
253489507,1253885326,0,5.203494948761107,1333
253489507,253490441,0,39.2898226813676,1520
253489508,1624234922,0,408.33986162912106,1213
253489511,253489495,0,4.004249412186351,55
253489511,272998691,0,8.415818059568288,108
253489511,253490250,0,0.0,36
253489605,253489505,0,19.968903825523544,143
253489605,253490377,0,0.0,0
253489605,253490444,0,1.8042575739428446e-15,181
253489680,253490325,0,3.736581943877694e-15,1654
253489680,253489502,0,0.34982396721580716,9
253489680,253489681,0,91.85766586540446,1605
253489681,253489927,0,126.78609264574159,1267
253489681,253489921,0,0.3624395533927681,6
253489681,253489680,0,3.736581943877694e-15,1605
253489681,253490084,0,18.970885135004607,293
253489921,253489495,0,0.0,37
253489921,253489498,0,0.5910401865386321,8
253489921,253489681,0,0.0,6
253489925,253489927,0,0.0,110
253489925,253489974,0,2.9978201587185622,46
253489925,253486700,0,3.4009049247642404,40
253489927,323130797,0,52.550517289011836,1118
253489927,253489925,0,9.260100646711527,110
253489974,253489925,0,0.02381059281633848,46
253489974,12182898785,0,2.853443483712951,72
253489976,253486702,0,13.366289333160578,247
253489976,253490092,0,11.20850913218343,137
253489979,253490084,0,0.0,35
253489979,253489974,0,0.0,0
253489979,1598906556,0,0.0,0
253490084,253489979,0,7.037101427872034,35
253490084,253489681,0,1.0907915794490598e-15,293
253490084,1187250361,0,3.0572280848779214,321
253490092,253489979,0,0.0,0
253490092,12182898785,0,6.734226816768497,115
253490092,253489976,0,0.6268690968965408,137
253490250,253490282,0,0.0,112
253490250,253489502,0,6.914616808038027,38
253490250,253489511,0,3.696299585938586,36
253490282,253489505,0,7.364890646080207e-16,114
253490282,253490250,0,22.98568150864402,112
253490282,253490325,0,0.0,36
253490325,253490282,0,3.800825803210679,36
253490325,253490396,0,4.181149724178119e-15,1731
253490325,253489680,0,101.64169687457151,1654
253490334,253490396,0,246.93137087350672,545
253490334,533699001,0,0.0,0
253490377,253490396,0,54.37103655660888,1506
253490377,253490441,0,5.504297397312522,1525
253490396,253490334,0,28.44936667119222,545
253490396,253490325,0,173.2552679791638,1731
253490396,253490377,0,12.476449448298762,1506
253490441,253490444,0,0.23372536811097425,5
253490441,253490377,0,39.2898226813676,1525
253490441,253489507,0,5.216783064569558,1520
253490444,253489506,0,1.8042575739428446e-15,176
253490444,253489605,0,27.382697395330382,181
253630889,1187076611,0,0.9914267375636605,174
253630889,95949496,0,0.0,0
253630889,6425162983,0,1600.0,160
253634598,9156294611,0,9.574893684198953e-16,79
253634598,336031616,0,1.0030614589706965,12
