origin,dest,distance_original
8085859020,188469114,27.335561769380224
613367948,65340949,21.664190785664793
92889371,291707983,25.34933640275134
287826664,7306238119,24.246521555636434
12945474744,4102551601,20.25120940745733
89893537,250556655,21.58139883655738
287826664,248793448,24.98919335968589
287826664,10771250380,22.88584661421482
272614924,416002175,12.538341473308783
8085859020,334790188,13.254985307517844
272614924,1013013161,26.94905218871157
311965585,2426445080,9.308189640481295
8085859020,1617824304,22.169102546303712
303792367,12390993601,11.241989007317613
303792367,2435208233,37.6382596460862
12945474744,1532852174,32.90216476437513
12945474744,259795263,21.238749073150217
316230123,7051249252,27.019874278868805
92889371,259867924,22.602387673675654
272614924,60723054,20.896321505362682
272614924,311396180,18.529504244070036
613367948,2378397061,19.14403640913963
316230123,249073332,26.623119168231874
272614924,3083233646,22.537623163849908
272614924,9833823823,19.55315592103465
12945474744,306557466,26.95007527351673
89893537,665222538,19.66886867786529
8085859020,322479120,28.63795638678373
8085859020,249072750,30.168118001674912
311965585,335783057,32.561220084047605
8085859020,12390641700,26.873782655812022
613367948,526582498,21.45665036637438
92889371,307620241,25.61858659627924
287826664,300698159,18.45732720836054
311965585,255420867,15.846136002276717
613367948,326923464,20.161624263909896
303792367,298715318,30.805349867633744
316230123,254427999,21.034125903824126
12945474744,2304900232,16.149190215796057
613367948,1642793431,12.830081231902371
316230123,255092191,13.932892409859484
287826664,245917292,7.1313667163068795
303792367,1518304715,31.08675283302786
303792367,296888150,28.65873181309302
272614924,302920304,9.917919041844792
287826664,40886793,22.94261553838986
316230123,330999337,34.53993810984074
89893537,252805551,25.119090792823183
613367948,255422722,17.002001673255425
316230123,5767891172,30.544165961305918
303792367,324532013,24.47048513895045
8085859020,316820796,24.740106512268323
316230123,253892065,18.039787859345275
613367948,338867743,23.438737961639355
303792367,798868912,15.83725866892435
287826664,257533656,9.305635422999437
303792367,302909565,35.87575743052658
316230123,4102551619,12.883197532777682
287826664,338986311,33.56788849350028
613367948,275635581,15.786775601976219
8085859020,480805882,22.559750196699227
272614924,12357746682,13.789291888239221
92889371,332061394,15.123139534721023
311965585,11691422397,23.826022427323863
272614924,5603694972,17.198527190008658
316230123,38442091,24.890028773188945
272614924,5026067610,20.054364295449744
287826664,253073636,14.629726908312225
92889371,76459474,14.437180418590609
8085859020,561338242,27.690953276807306
303792367,244056315,28.564776884371224
92889371,71051829,25.20923234535668
272614924,3398357685,14.842290607136167
613367948,11956294384,19.861987270887546
8085859020,590062950,18.695137316802008
8085859020,314969161,15.218284134950062
89893537,299219055,17.137189088356237
311965585,2079575190,27.616170402808244
311965585,259787552,19.108554627878817
287826664,3931439219,24.25928764612005
272614924,252502323,12.54461278876136
316230123,317012222,21.028895708363994
303792367,254431668,34.22838173769054
303792367,9415895111,36.483983424084734
287826664,39692850,22.83773305491646
272614924,3003746373,23.49419490104414
287826664,994738296,31.967796000696158
613367948,33533760,23.70553084866776
12945474744,1257066878,4.103898388033143
316230123,2009690207,29.770945536943827
316230123,60766809,21.487522907898587
287826664,3917371578,27.033696752044374
89893537,259787231,20.760538633654345
316230123,9065820389,16.98695182101491
12945474744,598622389,25.052456990876443
303792367,61703614,15.253772062276806
8085859020,446058294,23.161204630272145
12945474744,253891937,4.377397963749062
12945474744,257451250,30.965568443884973
311965585,1965299326,9.024646165966626
92889371,3428441374,17.88962235182934
89893537,1644037249,16.99127434740912
311965585,9143354774,21.682635306852806
311965585,678262463,23.594638414669845
311965585,303021610,21.61344933025412
92889371,6084402616,16.857594206120595
89893537,259795121,25.83116557015682
613367948,97047083,21.662129837072722
8085859020,66514698,17.686805133312056
272614924,333117010,15.676090987368791
89893537,303902464,26.55992649764412
272614924,228830919,21.50381982660628
311965585,588676292,38.601079906659905
8085859020,3247972925,29.041230371482214
303792367,3377868221,32.915874031845114
303792367,61699827,inf
272614924,340340550,24.537257052434953
92889371,1673815807,24.95115240081855
272614924,258846350,20.699344535549567
311965585,7376611700,24.75971118230323
12945474744,68888390,27.514606634994536
8085859020,5098938757,21.486426215859876
8085859020,976805812,14.79689494406394
311965585,4856400136,19.220329422229284
311965585,239507660,19.274377067565393
272614924,268948436,29.500935501546827
8085859020,259791032,26.23567603370208
303792367,257568459,23.476920757135858
12945474744,4949259265,30.81941933522227
89893537,9752662105,22.454097351232836
316230123,59642556,23.105201472501694
12945474744,334790258,21.548133273131114
613367948,2857800065,19.94257952644255
303792367,266513253,6.593972707197594
311965585,4856400136,19.220329422229284
92889371,253767216,22.13116036314931
311965585,338867742,19.759764935625984
12945474744,96934956,12.54855730764884
303792367,580986480,34.54311289423506
89893537,1295827966,24.221805918658525
272614924,251312193,20.572073321161536
92889371,487137210,18.338529655475565
89893537,255408553,22.41549988924712
316230123,179553764,12.693514696181214
613367948,253200794,12.207985194999708
89893537,300241694,16.26480823320953
311965585,724834816,25.927112949512164
272614924,252853487,21.218391975909903
8085859020,246665665,22.995882506836896
272614924,324533344,16.85426115154854
613367948,445821244,19.716287575318233
89893537,1917564845,20.617409825713985
12945474744,305701411,22.172993614661536
303792367,8383152149,24.084151768974394
92889371,252495824,23.046835272262374
89893537,251472235,16.25224784855665
303792367,4102551601,24.716448449306483
613367948,993614528,24.383016614774192
8085859020,38441215,23.97967101643976
316230123,257602555,14.859597297952169
92889371,3206612975,20.256863211658704
287826664,594964492,24.647019866353517
303792367,4902804392,34.7465720073044
316230123,525843333,24.863872560615718
89893537,443430078,24.203161760633996
287826664,590201756,6.594822823856754
8085859020,2930245178,7.11577891700546
316230123,9923881283,23.838304735050514
311965585,595819704,17.313752905526602
272614924,35911653,23.724247303313245
8085859020,443430078,33.39927872825535
272614924,2304025167,19.747821948954513
92889371,10700743232,15.58242999715589
89893537,252352370,24.55749383732124
311965585,3206607302,23.088529857884797
613367948,310109653,15.759668656919468
89893537,603356343,19.93385774377434
303792367,8440755163,inf
89893537,179572305,16.52516063822901
613367948,1422902163,23.51267753989171
303792367,10013724953,28.656060036740392
613367948,1950511971,28.78832907761123
287826664,6823802915,20.068079372516635
89893537,1082874529,14.927088028682792
92889371,995445360,24.913366834390178
8085859020,1016291116,20.63367807954299
613367948,3221532579,25.608091233706446
12945474744,8449075352,24.658513278713514
303792367,309647628,13.824027553355632
287826664,4377356522,21.99234551201238
8085859020,85736067,28.736770501717306
8085859020,2979467260,25.333730886856905
613367948,303902464,27.08200634845163
8085859020,6009277462,30.98343291330395
8085859020,303596047,24.5838876295952
